probe	GC	102-11C_S3_L001_coverage	126-11c_S9_L001_coverage	1ES86798_S2_L001_coverage	1EV02973_S11_L001_coverage	1EV02981_S8_L001_coverage	2KK58589_S7_L001_coverage	2KR049010_S2_L001_coverage	512022_S1_L001_coverage	BL37577_S10_L001_coverage	BL37590_S4_L001_coverage	C00413_S5_L001_coverage	C00434_S6_L001_coverage	CC50362-2_S1_L001_coverage	CC50362-3_S4_L001_coverage	IMIN44_S12_L001_coverage	Undetermined_S0_L001_coverage	ZL10_S3_L001_coverage
HtScaffold0001:100070-100189	28.3	100	100	0	0	0	0	100	15.8333	0	0	86.6667	100	0	0	0	100	0
HtScaffold0001:100190-100309	39.1	100	100	0	0	0	0	100	98.3333	0	0	100	100	0	0	0	100	0
HtScaffold0001:100310-100429	30.0	100	100	0	0	0	0	100	5.83333	0	0	56.6667	100	0	0	0	100	0
HtScaffold0001:100430-100549	35.0	100	100	0	0	0	0	100	0	0	0	99.1667	100	0	0	0	100	0
HtScaffold0001:100543-100662	32.5	100	100	0	0	0	0	100	0	0	0	5	100	0	0	0	100	0
HtScaffold0001:17066-17185	25.8	100	100	81.6667	0	95.8333	0	100	100	65.8333	100	9.16667	100	100	100	79.1667	100	0
HtScaffold0001:17186-17305	37.5	100	100	100	0	100	0	100	100	100	100	100	100	100	100	99.1667	100	0
HtScaffold0001:17306-17425	28.3	100	100	100	0	100	0	100	69.1667	81.6667	100	24.1667	100	100	100	26.6667	100	0
HtScaffold0001:17426-17545	33.3	100	100	27.5	0	5.83333	0	100	0	0	27.5	100	100	51.6667	52.5	0	100	0
HtScaffold0001:17452-17571	35.0	100	100	5.83333	0	0	0	100	0	0	5.83333	100	100	30	30.8333	0	100	0
HtScaffold0001:19688-19807	30.8	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:19808-19927	41.6	100	100	0	0	0	0	95.8333	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:19928-20047	33.3	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	100	0
HtScaffold0001:20048-20167	31.6	100	100	0	0	0	0	100	0	0	0	36.6667	100	0	0	0	100	0
HtScaffold0001:20168-20287	37.5	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	69.1667	0
HtScaffold0001:20288-20407	38.3	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	24.1667	0
HtScaffold0001:20408-20527	40.0	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:20528-20647	31.6	100	100	0	0	0	0	100	0	0	0	0	100	0	0	0	100	0
HtScaffold0001:20648-20767	27.5	100	100	0	0	0	0	100	0	0	0	52.5	100	0	0	0	100	0
HtScaffold0001:20768-20887	25.8	100	100	0	0	0	0	93.3333	0	0	0	28.3333	100	0	0	0	100	0
